# Model run (UTC): 2025-11-21 15:00
# Created (UTC): 2025-11-21 17:42
time_utc,wind_speed_ms,wind_dir_deg,gust_speed_ms,temp_air_c
2025-11-21T12:00:00+00:00,1.3184512815861178,56.58973546283437,1.8214862,1.3855800000000045
2025-11-21T13:00:00+00:00,0.13145076218727295,153.13734802743056,1.9443468,1.6249600000000441
2025-11-21T14:00:00+00:00,1.0363978180877818,93.0642152398882,1.4725277,1.5700300000000311
2025-11-21T15:00:00+00:00,1.0705841090714516,95.92305090812681,1.2066385,1.1924000000000206
2025-11-21T16:00:00+00:00,0.9321348230147676,86.0077708618985,1.2290883,0.7662000000000262
2025-11-21T17:00:00+00:00,1.5308212979110238,90.5651612505892,1.683222,0.6838600000000383
2025-11-21T18:00:00+00:00,2.969946807142765,109.52638067111775,3.5782156,1.355980000000045
2025-11-21T19:00:00+00:00,1.8166063694951726,131.8510479321376,5.995948,2.1524
2025-11-21T20:00:00+00:00,3.9008157823472676,232.57628250455332,6.054279,4.52484000000004
2025-11-21T21:00:00+00:00,6.208598795309544,238.35034707494424,9.570858,5.953400000000045
2025-11-21T22:00:00+00:00,6.26292148060266,228.8036968817836,9.659985,6.202600000000018
2025-11-21T23:00:00+00:00,7.368098937002196,238.6165503627103,11.396733,6.978420000000028
2025-11-22T00:00:00+00:00,7.284345248974902,241.1341635860574,12.002663,6.91927000000004
2025-11-22T01:00:00+00:00,7.671976475028852,240.49977060273636,12.991251,7.271420000000035
2025-11-22T02:00:00+00:00,7.031156263587578,236.16027097118126,11.906521,6.830160000000035
2025-11-22T03:00:00+00:00,7.805058420752919,228.73865098324677,12.208845,7.1339399999999955
2025-11-22T04:00:00+00:00,8.771961652363869,233.32286836237415,13.773418,7.369960000000049
2025-11-22T05:00:00+00:00,9.007586545542532,235.24219499597586,14.097389,7.728780000000029
2025-11-22T06:00:00+00:00,9.186747298069713,238.4643416733411,14.427622,8.00690000000003
2025-11-22T07:00:00+00:00,9.280861861480567,237.43392044815937,14.502358,8.187900000000013
2025-11-22T08:00:00+00:00,8.711948012724795,232.4413131105349,14.505924,8.222200000000043
2025-11-22T09:00:00+00:00,8.698126370979782,226.66485281847702,13.63135,8.197300000000041
2025-11-22T10:00:00+00:00,8.262035823487905,221.92329689459837,13.624069,8.162599999999998
2025-11-22T11:00:00+00:00,6.83758838348843,209.8733288677155,13.007485,8.032370000000014
2025-11-22T12:00:00+00:00,6.80748515677267,209.78350900510736,10.76088,8.36850000000004
2025-11-22T13:00:00+00:00,8.877462607004833,219.0508033985967,14.229427,8.553430000000048
2025-11-22T14:00:00+00:00,9.432972387831073,212.92720332506542,15.468915,8.266080000000045
2025-11-22T15:00:00+00:00,8.765261288614942,197.0023534592309,14.833832,8.217600000000004
2025-11-22T16:00:00+00:00,9.096019305753629,192.3830955347454,14.875481,8.488500000000045
2025-11-22T17:00:00+00:00,8.946495007157832,200.73070253113895,14.4267845,8.804960000000051
2025-11-22T18:00:00+00:00,9.095958107517363,216.3800506274515,14.370582,8.966700000000003
2025-11-22T19:00:00+00:00,7.3330022466259415,228.81585644605684,14.494548,9.120570000000043
2025-11-22T20:00:00+00:00,6.286857407717346,241.6540811046484,12.207199,9.018880000000024
2025-11-22T21:00:00+00:00,5.334969677053204,269.30531639607534,10.008425,8.179470000000038
2025-11-22T22:00:00+00:00,5.589864368003188,272.83858900495034,9.084961,8.306970000000035
2025-11-22T23:00:00+00:00,5.1154178457360935,274.30208764835083,8.643402,8.141800000000046
2025-11-23T00:00:00+00:00,3.745100843461297,260.6185930639939,7.7477436,7.422570000000007
2025-11-23T01:00:00+00:00,2.7829316295022,253.48803896914478,5.3684716,6.549830000000043
2025-11-23T02:00:00+00:00,1.7472680921856907,218.0561037126579,3.749225,5.785670000000039
2025-11-23T03:00:00+00:00,1.4058151887362453,106.35545256176385,2.452971,4.296960000000013
2025-11-23T04:00:00+00:00,2.5148301280435503,85.61421522036187,2.6937256,3.356899999999996
2025-11-23T05:00:00+00:00,2.7690702945181513,80.95570728028258,4.30185,4.023900000000026
2025-11-23T06:00:00+00:00,2.846430016633843,68.37652876293566,3.997223,4.434320000000014
2025-11-23T07:00:00+00:00,3.3308420579170592,95.28606485767273,5.9141765,5.272100000000023
2025-11-23T08:00:00+00:00,3.6644439318679716,93.3674086890901,5.70097,5.43870000000004
2025-11-23T09:00:00+00:00,4.144492980792104,70.37600636457091,7.1896057,5.311580000000049
2025-11-23T10:00:00+00:00,8.416753079798283,121.60272595843492,13.998752,7.436329999999998
2025-11-23T11:00:00+00:00,4.7895092020130035,135.22181911607873,16.024971,7.944360000000017
2025-11-23T12:00:00+00:00,6.150084783345413,153.66839594915803,11.438024,8.437160000000006
2025-11-23T13:00:00+00:00,4.910297609521698,151.03645433851563,9.917501,8.255880000000047
2025-11-23T14:00:00+00:00,5.2237879291193225,161.91069472735217,8.244821,8.225819999999999
2025-11-23T15:00:00+00:00,3.6014587886492353,146.75699251563537,8.396461,7.511200000000031
2025-11-23T16:00:00+00:00,3.3376803447257033,139.10766016980494,5.3430243,6.794900000000041
2025-11-23T17:00:00+00:00,6.794425030435992,168.52880098880428,10.795926,8.035000000000025
2025-11-23T18:00:00+00:00,9.599907254154392,154.99887945413684,15.942228,7.953760000000045
2025-11-23T19:00:00+00:00,9.272571493198061,145.4937118739624,15.483506,7.1537400000000275
2025-11-23T20:00:00+00:00,10.022655448951019,148.7364101947324,16.40396,7.081260000000043
2025-11-23T21:00:00+00:00,8.623308468167714,143.23815710614338,16.25472,6.573450000000037
