time_utc,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-19T10:00:00+00:00,4.1335607,51.625305,0.828129,12.8828125,6.6210938,3.6171875,307.6252,0.23828524,1.9972141,42.75,0.79297274,7.0390625,302.62808,0.0126953125
2025-11-19T11:00:00+00:00,3.4061651,50.00009,0.82617587,12.4453125,7.1132812,3.9179688,306.62552,0.1640665,1.7667453,46.375,0.81055087,7.3320312,304.37613,0.01586914
2025-11-19T12:00:00+00:00,3.2801855,50.75,0.82422274,12.234375,7.4609375,4.15625,305.75116,0.12891024,1.6378391,47.125,0.8144571,7.6054688,304.50623,0.016601562
2025-11-19T13:00:00+00:00,2.9220555,69.25012,0.82422274,11.988281,7.6445312,4.3359375,305.37518,0.0859415,1.3800266,64.5,0.81836337,7.7109375,304.88272,0.017089844
2025-11-19T14:00:00+00:00,2.3212233,65.62503,0.8222696,10.8671875,7.7226562,4.4765625,304.7511,0.052738376,1.0792453,63.5,0.8203165,7.75,304.625,0.020751953
2025-11-19T15:00:00+00:00,2.6345909,44.0018,0.8203165,10.191406,7.75,4.5195312,304.1254,0.062504,1.1808078,43.625,0.81836337,7.7890625,303.75385,0.025390625
2025-11-19T16:00:00+00:00,2.6242101,48.5,0.8203165,10.058594,7.796875,4.5507812,303.12558,0.060550876,1.1417453,46.625,0.81836337,7.8320312,302.8758,0.025634766
2025-11-19T17:00:00+00:00,2.9984484,57.75052,0.8222696,12.800781,7.8867188,4.5585938,302.12506,0.072269626,1.2042453,54.25,0.8203165,7.9375,301.75073,0.017822266
2025-11-19T18:00:00+00:00,3.2257373,41.375,0.8300821,12.519531,8.0078125,4.5664062,301.3751,0.087894626,1.2745578,39.75,0.82617587,8.082031,300.75186,0.018310547
2025-11-19T19:00:00+00:00,3.4448342,48.25,0.843754,12.453125,8.128906,4.5507812,300.75018,0.103519626,1.3526828,42.25,0.8359415,8.234375,300.0019,0.018798828
2025-11-19T20:00:00+00:00,3.4307313,39.375,0.85742587,12.644531,8.2578125,4.5898438,300.5002,0.115238376,1.4229953,35.5,0.84961337,8.3828125,299.50272,0.01953125
2025-11-19T21:00:00+00:00,4.447524,55.25,0.875004,12.9375,8.2890625,4.3242188,301.2506,0.16211337,1.5128391,47.75,0.859379,8.53125,299.37534,0.016357422
2025-11-19T22:00:00+00:00,4.7121644,61.75,0.89648837,12.980469,8.21875,4.0585938,303.375,0.22070712,1.7394016,54.0,0.8691446,8.640625,299.8766,0.016113281
2025-11-19T23:00:00+00:00,4.3978534,59.875,0.9082071,12.953125,8.253906,4.0976562,304.62506,0.2265665,1.8487766,52.75,0.87891024,8.6796875,300.8769,0.016113281
2025-11-20T00:00:00+00:00,4.7355223,62.125,0.9238321,12.902344,8.183594,4.0,306.50067,0.25391024,1.9464328,54.875,0.88867587,8.691406,301.75006,0.015625
2025-11-20T01:00:00+00:00,5.751912,53.12503,0.9707071,12.886719,7.8242188,3.6953125,312.5,0.3515665,2.1729953,46.375,0.90430087,8.6796875,302.37854,0.014892578
2025-11-20T02:00:00+00:00,6.643578,46.125,1.0175822,12.871094,7.546875,3.6015625,319.62592,0.44141024,2.3644016,40.125,0.9160196,8.753906,303.5011,0.0146484375
2025-11-20T03:00:00+00:00,6.895256,44.375,1.046879,12.5390625,7.4882812,3.5820312,323.5002,0.48633212,2.4698703,38.0,0.92773837,8.8671875,305.0012,0.017822266
2025-11-20T04:00:00+00:00,6.6603675,41.5,1.0546916,12.1171875,7.6210938,3.6015625,323.62543,0.48633212,2.5011203,34.25,0.93555087,9.011719,306.37564,0.018310547
